Name,Symbol,Avg Buy Price,Shares
Pitti Engineering Ltd,PITTIENG,892.62,32
Praj Industries Ltd,PRAJIND,601.85,46
TD Power Systems Ltd,TDPOWERSYS,349.55,103
Triveni Turbine Ltd,TRITURBINE,566.46,35
Fiem Industries Ltd,FIEMIND,1164.94,19
Shivalik Bimetal Controls Ltd,SBCL,572.28,59
Ganesha Ecosphere Ltd,GANECOS,1319.01,28
Ion Exchange (India) Ltd,IONEXCHANG,578.29,67
Shakti Pumps (India) Ltd,SHAKTIPUMP,482.73,39
Inox Wind Ltd,INOXWIND,132.6,139
Skipper Ltd,SKIPPER,375.9,83
HPL Electric & Power Ltd,HPL,490.09,48
Genus Power Infrastructures Ltd,GENUSPOWER,346.45,69
Kalpataru Projects International Ltd,KPIL,1305.54,21
Swelect Energy Systems Ltd,SWELECTES,1153.3,18
Premier Energies Ltd,PREMIERENE,884.72,24
Pondy Oxides and Chemicals Ltd,POCL,1012.5,34
Websol Energy System Ltd,WEBELSOLAR,1202.31,25
Waaree Energies Ltd,WAAREEENER,2575.18,17
Borosil Renewables Ltd,BORORENEW,590.1,88
Transrail Lighting Ltd,TRANSRAILL,616.96,47
Jash Engineering Ltd,JASH,619,27
HBL Engineering Ltd,HBLENGINE,580.9,64
Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,106.77,315
ACME Solar Holdings Ltd,ACMESOLAR,217.67,142
